,ac,dc_norm,dc
Schott_Solar_ASE_100_ATF_17_100__1999_E_,1140.6964997633775,1238.9132099222409,123593.98182184272
Schott_Solar_ASE_100_ATF_17_85__1999_E_,1128.3958595598476,1236.7541336131246,105965.09416797251
Schott_Solar_ASE_100_ATF_17_92__1999_E_,1134.2657703651303,1237.8463674206175,113634.29652921272
Schott_Solar_ASE_100_ATF_34_100__1999_E_,1139.8911291590332,1238.9132099222409,123593.98182184272
Schott_Solar_ASE_100_ATF_34_85__1999_E_,1170.3580344782074,1283.176777528251,107786.84931237307
Schott_Solar_ASE_100_ATF_34_92__1999_E_,1133.3785001833974,1237.8463674206175,113634.29652921272
Schott_Solar_ASE_250_DGF_50_250__2007_E_,1188.0884216647762,1249.764766934395,313890.91886324267
Schott_Solar_ASE_270_DGF_50_260__2007_E_,1188.478375989479,1249.5009225639983,322508.6831229936
Schott_Solar_ASE_270_DGF_50_270__2007_E_,1189.9154104113666,1249.9286656474164,337543.2361580849
Schott_Solar_ASE_300_DGF_17_265__1999_E_,1192.5949113283853,1253.911058991604,332838.15149873134
Schott_Solar_ASE_300_DGF_17_285__1999_E_,1194.8013934467458,1254.8155738327384,358375.32788663014
Schott_Solar_ASE_300_DGF_17_300__1999_E_,1196.4088131062442,1255.6990534450097,375805.6127150224
Schott_Solar_ASE_300_DGF_50__1995_,1196.1914690521255,1254.8053158561813,364505.4850547294
Schott_Solar_ASE_300_DGF_50_265__1999_E_,1192.7580960057708,1253.2734380539284,332117.46108429105
Schott_Solar_ASE_300_DGF_50_280__2007_E_,1191.2418618413137,1250.2835526047068,353480.1659924027
Schott_Solar_ASE_300_DGF_50_285__1999_E_,1194.912676698613,1254.0409764938704,354642.7881524665
Schott_Solar_ASE_300_DGF_50_290__2007_E_,1192.14631108247,1250.6313559899952,363408.45942357276
Schott_Solar_ASE_300_DGF_50_300__1999_E_,1196.8349265583875,1254.7934651604803,377567.3536667885
Schott_Solar_ASE_300_DGF_50_300__2007_E_,1192.7907935639507,1250.7499809916085,373398.89932523476
Schott_Solar_ASE_300_DGF_50_310__2007_E_,1193.299952121793,1250.8662845646188,389907.5295616373
Schott_Solar_ASE_300_DGF_50_320__2007_E_,1193.0264958609985,1250.9803341924155,400213.62851483765
Schott_Solar_ASE_50_ALF_17__1997_,1072.4761399221215,1236.0853378068189,59558.6706571473
Schott_Solar_ASE_50_ATF_17_45__1999_E_,1065.8393880181072,1237.846367420618,55764.978852298824
Schott_Solar_ASE_50_ATF_17_50__1999_E_,1079.3884372029504,1238.9132099222409,61796.99091092136
Schott_Solar_SAPC_165__2001_,1151.744438685334,1226.2977644521643,198145.18051720306
Schott_Solar_SAPC_165_2002_E_,1153.6277554870785,1227.4085504563052,202573.96198440954
Schott_Solar_SAPC_170_2007_E_,1167.2748707872506,1240.309441406565,211497.56594864745
Schott_Solar_SAPC_175_2007_E_,1174.1408699192618,1246.3773869425022,218402.70951393468
Sharp_ND_070ERU_LU_2003_E_,1114.7965951110737,1238.359258875316,86758.9543331011
Sharp_ND_123U1_2003_E_,1167.274973561927,1254.2031052148927,154457.6208134245
Sharp_ND_160E1_2004_E_,1178.50713831742,1254.015137750953,200712.64688786655
Sharp_ND_167U1_2003_E_,1181.5841870937343,1255.617519482072,209499.78312558372
Sharp_ND_167U1F__2006_,1181.771414177008,1254.987932836092,214024.0733309511
Sharp_ND_167U1F_2006_E_,1180.3263118802006,1254.26652666114,209452.35039354445
Sharp_ND_187U1F_2007_E_,1184.330820634653,1254.4187909679142,234639.03485054837
Sharp_ND_208U1_2005_E_,1187.2513916258315,1254.1127639338995,260918.16053644774
Sharp_ND_208U1F_2006_E_,1187.6871038881584,1254.5520467743186,261131.87215595754
Sharp_ND_216U1F_2008_E_,1189.1139936061656,1254.9439921657954,271283.7526744643
Sharp_ND_216U2_2007_E_,1188.7380881617632,1254.5520467743186,271216.96514956694
Sharp_ND_L3E1U_2002_E_,1167.274973561927,1254.2031052148927,154457.6208134245
Sharp_ND_L3E6E_2004_E_,1167.274973561927,1254.2031052148927,154457.6208134245
Sharp_ND_NOECU_2003_E_,1179.3126379048547,1260.4336722073438,176522.47535896627
Sharp_ND_Q0E2U_2002_E_,1184.61350259587,1260.308122999853,201719.87693486444
Sharp_NE_165U1_2004_E_,1186.6086854642613,1261.3609561760127,208177.53492920153
Sharp_NE_170U1_2007_E_,1202.6830953062743,1276.6797002240805,217699.4224822102
Sharp_NE_80E1U_2002_E_,1145.689235397672,1260.3406727943875,100647.02510734141
Sharp_NE_H120E1__2001_,1182.3125227790829,1272.0709383972617,150807.82595981058
Sharp_NE_H120E1_2002_E_,1187.128823449197,1276.3440813439754,153185.54029882263
Sharp_NE_K125U2_2002_E_,1189.1188590593738,1276.3444981855132,159287.79337355206
Sharp_NE_Q5E2U_2002_E_,1201.1451994983308,1276.33688405757,210649.19201862943
Sharp_NT_175U1_2007_E_,1176.96494886138,1249.1360294516162,218886.1064408067
Sharp_NT_185U1_2003_E_,1180.42648525615,1250.8108415103256,231377.49108426305
Sharp_NT_5AE3D__2004_,1184.6600724445138,1257.3650506111478,220135.07228332266
Sharp_NT_R5E1U_2002_E_,1176.96494886138,1249.1360294516162,218886.1064408067
Sharp_NT_S5E1U_2003_E_,1180.42648525615,1250.8108415103256,231377.49108426305
Shell_Solar_S10_2003_E_,627.2184810498345,1240.3387015522821,10232.794287806328
Shell_Solar_S105_2002_E_,1147.1288241020734,1242.3028838016141,130516.34097219756
Shell_Solar_S115_2002_E_,1155.8672059079286,1246.133489372314,143270.4595401137
Shell_Solar_S165__2002_,1143.3525315820114,1217.8969370272441,194432.08211338657
Shell_Solar_S25_2002_E_,959.4716906930124,1240.3574884147256,29061.57595355702
Shell_Solar_S36_2003_E_,1037.8234988172896,1240.3574884147256,44615.65885827769
Shell_Solar_S65_2003_E_,1109.6371182686548,1240.3574884147256,80635.64032184132
Shell_Solar_S70_C_2003_E_,1118.5831102300115,1242.7372229671485,87041.31509661907
Shell_Solar_S75_C_2003_E_,1126.8342302976066,1245.4144961244647,93376.19726142786
Shell_Solar_S80__2002_,1095.94307378049,1205.055407555175,100435.77676263278
Shell_Solar_SM10_1999_E_,706.0649141893002,1254.8076236631696,12476.552202082896
Shell_Solar_SM100_12_2003_E_,1151.5769250486205,1249.7928844936146,125354.22631470958
Shell_Solar_SM100_24_2003_E_,1150.5571330881717,1249.7928844936148,124929.29673398173
Shell_Solar_SM110_12_2003_E_,1159.1084843819986,1252.0017628973167,137594.9937424151
Shell_Solar_SM110_24_2003_E_,1158.5709555497356,1252.0017628973167,138033.19435942915
Shell_Solar_SM20_1999_E_,940.9795840945928,1263.2809558883816,25278.251927326513
Shell_Solar_SM46_2002_E_,1092.79199883714,1263.768980946688,58120.73543373817
Shell_Solar_SM50_1999_E_,1091.8710073419907,1250.8855807533341,63332.33695354132
Shell_Solar_SM50_H_2002_E_,1102.081472374688,1262.56814297761,63235.725441033595
Shell_Solar_SM55__1997_,1101.3293889168829,1256.390220652933,66114.2687472869
Shell_Solar_SM55_2002_E_,1112.7997421749478,1263.02574562125,69226.44111750071
Shell_Solar_SM6__1997_,434.6211683328713,1276.915968960179,6855.251070959617
Shell_Solar_SM6_1999_E_,462.4403805723973,1249.9039952754933,7311.9383723616365
Shell_Solar_SP130__2001_,1156.6249385183653,1239.7266450927602,165959.72652527766
Shell_Solar_SP130_2001_E_,1165.5489151179486,1250.1714088436452,162959.84314276915
Shell_Solar_SP140_2001_E_,1168.9784785630056,1250.1714088436452,175336.5400903212
Shell_Solar_SP140_2002_E_,1156.0148976662924,1236.9354249966057,173072.00466552508
Shell_Solar_SP150_2001_E_,1174.0509466381102,1252.5443896686465,187380.64069442957
Shell_Solar_SP150_2002_E_,1161.3539216909758,1239.3732809117894,185831.6297399137
Shell_Solar_SP18_12V__1999_E_,918.1848888576131,1259.1423657796513,23545.962240079483
Shell_Solar_SP18_6V__1999_E_,906.7448983522321,1258.4993501850731,22464.213400803554
Shell_Solar_SP36_12V__1999_E_,1051.5964531550746,1259.1423657796513,44951.38245833356
Shell_Solar_SP36_6V__1999_E_,1052.0276637259515,1258.4993501850731,44928.42680160711
Shell_Solar_SP65_12V__2001_E_,1124.7738373730424,1256.9693324131158,81922.97624002483
Shell_Solar_SP70_12V__1999_E_,1131.4862058999406,1256.9693324131156,88144.97443546973
Shell_Solar_SP70_6V__1999_E_,1131.4452307547024,1256.3068308469815,88098.51651314457
Shell_Solar_SP75__1997_,1133.9207879181567,1258.0156236754256,89757.77932893085
Shell_Solar_SP75_12V__2002_E_,1146.4203335144052,1266.6230833124825,94743.40663177373
Shell_Solar_SP75_6V__2003_E_,1147.00766758522,1266.6230833124825,94743.40663177373
Shell_Solar_SQ140_PC_2003_E_,1170.3368249111895,1251.3709307503314,175504.77303773395
Shell_Solar_SQ150_PC_2003_E_,1175.513152396256,1253.8704591924986,187579.0206951978
Shell_Solar_SQ160_PC_2004_E_,1180.5504495027717,1256.2271795248514,201373.2168778337
Shell_Solar_SQ70_<12V>_2003_E_,1126.0864468137981,1251.0359536203086,87728.89624762413
Shell_Solar_SQ70_<6V>_2003_E_,1126.6820767022937,1251.0359536203086,87728.89624762413
Shell_Solar_SQ75_<12V>_2004_E_,1133.9617684453337,1253.5453351848523,93765.19107182698
Shell_Solar_SQ75_<6V>_2004_E_,1134.5380255102284,1253.5453351848523,93765.19107182698
Shell_Solar_SQ80_<12V>_2003_E_,1141.7413452702287,1255.9113450015973,100661.29430187804
Shell_Solar_SQ80_<6V>_2003_E_,1142.3782879311989,1255.9113450015975,100771.18654456567
Shell_Solar_SR100_12V__1999_E_,1145.474319397876,1244.418509025204,123346.7626145782
Shell_Solar_SR100_6V__1999_E_,1145.3005206616012,1243.796675259037,123285.12645167577
Shell_Solar_SR50_12V__1999_E_,1082.1915979583057,1241.317381546183,62252.06668454109
Shell_Solar_SR50_6V__1999_E_,1082.3701348273407,1240.6699421491435,62219.597598779554
Shell_Solar_SR90_12V__1998_,1127.1328496460578,1234.130636129818,108135.88388139439
Shell_Solar_SR90_12V__1999_E_,1137.5064200483976,1241.317381546183,113952.9356259396
Shell_Solar_SR90_6V__1999_E_,1137.3327729519788,1240.6699421491435,113893.5006892914
Shell_Solar_ST10__1998_,688.3502378694936,1172.1477422082007,13115.278302341778
Shell_Solar_ST10_1999_E_,655.1007674532264,1175.887397691065,11740.059778547595
Shell_Solar_ST20_1999_E_,866.6858765241763,1175.887397691065,23663.557991134996
Shell_Solar_ST36_2003_E_,979.2449950554941,1177.613442810095,42422.34666379086
Shell_Solar_ST40_1999_E_,999.7230916009278,1183.7431423547227,47356.82815304304
Shell_Solar_ST5__1999_,464.6199225888454,1234.4907290633932,7241.522616685866
Shell_Solar_ST5_1999_E_,349.08321744954713,1176.2602011917322,5871.890924349127
Siemens_Solar_SM10_1999_E_,706.3457865554217,1255.1251899346412,12479.709763520139
Siemens_Solar_SM20_1999_E_,941.2911749455283,1263.5982222668235,25284.600427559133
Siemens_Solar_SM46_2002_E_,1093.1032937209975,1264.0862782032032,58135.327934565306
Siemens_Solar_SM50_1999_E_,1092.1801694209223,1251.201179513947,63348.31571879114
Siemens_Solar_SM50_H_2002_E_,1102.392272385265,1262.8853161112686,63251.61105743289
Siemens_Solar_SM55__1997_,1101.7545692535975,1256.9004506348472,66097.60437988621
Siemens_Solar_SM55_2002_E_,1113.1100329934065,1263.3429706951501,69243.82822380117
Siemens_Solar_SM6__1997_,433.0963290223186,1277.0908669270864,6836.024763395976
Siemens_Solar_SM6_1999_E_,463.0496477827849,1250.516352164019,7315.520660159513
Siemens_Solar_SP130__2001_,1156.8657048947782,1240.0235962706333,165830.09156230657
Siemens_Solar_SP130_2001_E_,1165.6453437891782,1250.2696272285853,162972.64590924606
Siemens_Solar_SP140_2001_E_,1169.074782831571,1250.2696272285853,175350.31521880903
Siemens_Solar_SP140_2002_E_,1156.303853255976,1237.23231501115,173113.54551636014
Siemens_Solar_SP150_2001_E_,1174.147083695647,1252.6425405012985,187395.3240589943
Siemens_Solar_SP150_2002_E_,1161.6429550805424,1239.670224346479,185876.15343851104
Siemens_Solar_SP18_12V__1999_E_,918.2990648787819,1259.2392799589004,23547.77453523144
Siemens_Solar_SP18_6V__1999_E_,907.5315936244356,1259.2392799589004,22477.42114726637
Siemens_Solar_SP36_12V__1999_E_,1051.699282643999,1259.2392799589004,44954.84229453274
Siemens_Solar_SP36_6V__1999_E_,1052.7770400383706,1259.2392799589004,44954.84229453274
Siemens_Solar_SP65_12V__2001_E_,1124.8711646768966,1257.0662767789959,81929.29458907105
Siemens_Solar_SP70_12V__1999_E_,1131.5832221633561,1257.0662767789959,88151.77265912708
Siemens_Solar_SP70_6V__1999_E_,1132.1929814903588,1257.0662767789959,88151.77265912708
Siemens_Solar_SP75__1997_,1133.8471471427133,1257.854106895341,89832.34285171951
Siemens_Solar_SP75_12V__2002_E_,1146.5178277571708,1266.7212028448034,94750.74597279131
Siemens_Solar_SP75_6V__2003_E_,1147.105048151281,1266.7212028448034,94750.74597279131
Siemens_Solar_SR100_12V__1999_E_,1145.931400548046,1244.900406286393,123394.5282711073
Siemens_Solar_SR100_6V__1999_E_,1146.365265461823,1244.900406286393,123394.5282711073
Siemens_Solar_SR50_12V__1999_E_,1082.6287595080626,1241.7991146671297,62276.225600556565
Siemens_Solar_SR50_6V__1999_E_,1083.4495825619279,1241.7991146671297,62276.225600556565
Siemens_Solar_SR90_12V__1998_,1127.6784232396617,1234.6749415293725,108227.11115767763
Siemens_Solar_SR90_12V__1999_E_,1137.962510233207,1241.7991146671297,113997.15872644253
Siemens_Solar_SR90_6V__1999_E_,1138.4219653064865,1241.7991146671297,113997.15872644253
Siemens_Solar_ST10__1998_,686.1803762537261,1172.4708759839102,13026.831465289311
Siemens_Solar_ST10_1999_E_,655.0801349834678,1175.9592747739352,11740.77739934297
Siemens_Solar_ST20_1999_E_,866.7276899665571,1175.9592747739352,23665.004445550672
Siemens_Solar_ST40_1999_E_,999.8001879418339,1183.8317102302008,47360.37139946942
Siemens_Solar_ST5__1999_,458.54087086351564,1234.2921677400395,7157.6109090377795
Siemens_Solar_ST5_1999_E_,348.9757241046067,1176.331680629909,5872.247749704506
Solar_Fabrik_SF_100__1998_,1126.0672713265856,1222.2652575030322,124671.0562653093
Solar_Fabrik_SF_115__1998_,1172.5166059337416,1262.8593226341343,146390.65267974886
Solar_Semiconductor_Inc_SSI_M6_220_Module__2008_,1210.8001011130802,1278.0765238104223,269655.8764200913
Solar_Semiconductor_Inc_SSI_M6_220_Module_2008_E_,1216.090405451757,1282.4446192352536,282101.3948045695
Solar_World_SW175_Mono_Sun_Module__2009_,1175.103031719043,1248.0573614221876,216314.74338794596
Solar_World_SW175_Mono_Sun_Module_2009_E_,1174.378204349984,1246.830222760507,218272.59245689982
Solarex_MST_43LV__1998_,1037.938845700985,1216.4652766559807,49468.72828188105
Solarex_MST_43LV_1999_E_,1049.251746244309,1221.3949004257183,52326.87818454859
Solarex_MST_43MV__1998_,1028.5643820001628,1203.897474353523,52207.01397534052
Solarex_MST_43MV_1999_E_,1045.9142687902477,1219.6495839677395,53342.594204413064
Solarex_MSX_110_2000_E_,1140.9880875548943,1234.07101159071,135607.12717965676
Solarex_MSX_120_1999_E_,1148.7529003748953,1237.267841619158,148100.96064181323
Solarex_MSX_120_2000_E_,1147.8157965785426,1236.1481675247476,148303.16795427905
Solarex_MSX_240_2000_E_,1175.257528242375,1237.3970458539584,296232.8527774376
Solarex_MSX_60_1999_E_,1097.5302760963682,1237.267841619158,74050.48032090662
Solarex_MSX_64__1997_,1096.8321833046157,1236.5217920295688,74006.38568777611
Solarex_MSX_64_1999_E_,1106.0503081717445,1239.1947811305547,79370.42573141202
Solarex_MSX_64_SiNx_Proto__1999_,1110.231984750761,1242.3694901687963,80529.89340494532
Solarex_MSX_77_1999_E_,1119.5725088528698,1236.2701658366302,95271.92406003407
Solarex_MSX_83_1999_E_,1126.2276713473118,1237.267841619158,102612.8084446849
SolarFun_SF220_30_P220__2010_,1211.9076073508775,1276.5519700139487,295742.81338554475
SolFocus_SF_1100S_CPV_28_315__2010_,736.308174347876,777.6908617647604,301868.48063153116
SolFocus_SF_1100S_CPV_28_330__2010_,725.9399944935485,777.6908617647605,321344.0416233889
Suniva_Titan_230_2009_E_,1186.5025911708,1250.0013926061092,294000.3275409569
Suniva_Titan_240_2009_E_,1189.248083991221,1251.9259990268301,305576.8582428634
SunPower_128_Cell_Module__2009_,1138.0306147556714,1253.6641824665335,498537.2551204242
SunPower_128_Cell_Module_2009_E_,1139.82075932878,1257.5492797824038,503297.63030379347
SunPower_72_Cell_prototype__2003_,1204.7122916927462,1271.2275698623,274419.4378642496
SunPower_SP305_GEN_C_Module__2008_,1200.5381500769727,1258.8659308701185,373320.2040354807
SunPower_SP305_GEN_C_Module_2008_E_,1204.6814863344366,1262.8335181771945,385449.6234191524
SunPower_SPR_200_BLK_2004_E_,1198.7355119659476,1267.3865760351928,253477.3152070385
SunPower_SPR_200_BLK_U_Module__2008_,1193.491876361163,1261.9390263652685,252460.7579681679
SunPower_SPR_200_BLK_U_Module_2008_E_,1196.038694650347,1264.62726974704,252925.45394940797
SunPower_SPR_205_BLK_2007_E_,1193.869292884747,1261.5685305721488,258873.86247340497
SunPower_SPR_210_BLK_2007_E_,1193.7522963990073,1260.7440917668073,264756.2592710295
SunPower_SPR_210_WHT__2006_,1185.5062133813362,1250.8763059858247,271278.4826363753
SunPower_SPR_210_WHT_2004_E_,1203.0127804125252,1270.2914130233996,266761.1967349139
SunPower_SPR_210_WHT_2007_E_,1194.5526962279926,1261.5685305721488,264929.3914201513
SunPower_SPR_210_WHT_U_Module__2008_,1195.2179148145647,1263.0159561681162,254588.00565254997
SunPower_SPR_210_WHT_U_Module_2008_E_,1201.0076467423937,1268.2024202655657,266322.50825576874
SunPower_SPR_215_WHT_2007_E_,1194.1013900689566,1260.4176818628766,270888.96818596945
SunPower_SPR_220_CS__2006_,1183.056515291121,1247.4393825391141,277638.5915657065
SunPower_SPR_220_PVL__2006_,1186.499202425186,1251.6655901336414,278136.1404805607
SunPower_SPR_220_BLK_U_Module__2008_,1188.7172232786097,1253.360604374741,277466.9927934464
SunPower_SPR_220_BLK_U_Module_2008_E_,1194.196700002935,1259.849937924599,277381.160832859
SunPower_SPR_225_BLK_2007_E_,1197.1651235698143,1262.2603592714422,284122.18426840904
SunPower_SPR_225_WHT_2007_E_,1197.1651235698143,1262.2603592714422,284122.18426840904
SunPower_SPR_230_WHT_2007_E_,1195.1248713292584,1258.9896389664266,289580.2068586678
SunPower_SPR_300_WHT_2007_E_,1204.1895898216217,1262.5098485373821,379135.4950453216
SunPower_SPR_305_WHT__2009_,1201.3350489712311,1259.4277096071446,383198.13480759534
SunPower_SPR_305_WHT_2007_E_,1204.263845985265,1262.5098485373824,385350.8310296711
SunPower_SPR_315E_WHT_2007_E_,1200.2115369544254,1258.8237583155956,396620.11918001133
SunPower_SPR_90_2004_E_,1163.6364331701182,1270.00421644905,114643.28061885576
SunPower_SunTile_2007_E_,1125.2440264740655,1260.8509585447628,79433.61038832004
Suntech_STP170S_24_Ac_2007_E_,1175.879696247453,1248.9543546921677,213421.32012979765
Suntech_STP175S_24_Ac_2007_E_,1177.2228246219352,1249.3770214843155,219165.7171087786
Suntech_STP180S_24_Ac_2007_E_,1178.5200306164277,1249.7949927115926,224963.0986880867
Suntech_STP200S_18_ub_1_Module__2009_,1177.1007923983664,1244.11315920195,248222.4616994857
Suntech_STP200S_18_ub_1_Module_2009_E_,1184.4129879762766,1252.5253696078207,250387.33653682098
Suntech_STP260S_24_Vb_2007_E_,1186.6436739523785,1247.6573775918089,324453.30104275
Suntech_STP270S_24_Vb_2007_E_,1187.4223507368165,1247.6573775918089,336680.3433431497
Suntech_STP270S_24_Vb_Module__2008_,1185.8100286093104,1246.421071472626,330890.522882201
Suntech_STP270S_24_Vb_Module_2008_E_,1189.8122294609375,1250.2541865794417,337381.0922484623
Suntech_STP280S_24_Vb_2007_E_,1188.5749213115316,1248.0946148239493,349266.797012334
Uni_Solar_PVL_116_2003_E_,1260.625971981428,1353.1166663499725,157502.7799631368
Uni_Solar_PVL_124_2006_E_,1253.1851120505646,1342.647421335812,165145.63282430486
Uni_Solar_PVL_128_2003_E_,1265.4784340017559,1353.2311540632836,173267.71696626284
Uni_Solar_PVL_136_2005_E_,1257.7867866204278,1342.7617603736358,181675.66617855287
Uni_Solar_PVL_29_2003_E_,1113.9608402248793,1353.2006240064006,39378.138158586255
Uni_Solar_PVL_58_2003_E_,1209.3064033336705,1353.2006240064006,78756.27631717251
Uni_Solar_PVL_64_2003_E_,1218.5390116417866,1353.2311540632836,86633.85848313142
Uni_Solar_PVL_68_2005_E_,1213.2041652909747,1342.7617603736358,90837.83308927644
Uni_Solar_PVL_87_2003_E_,1243.4278373403336,1353.2565957773527,118139.3008113629
Uni_Solar_SHR_17_2004_E_,982.3664777817191,1342.7871690487077,22961.660590732896
Uni_Solar_US_11_2005_E_,801.5886588292518,1342.7617603736358,13514.89711816064
Uni_Solar_US_116_2003_E_,1260.625971981428,1353.1166663499725,157502.7799631368
Uni_Solar_US_21_2003_E_,1033.1111928228263,1342.7617603736355,28137.57268862953
Uni_Solar_US_3_2003_E_,106.52436770377193,1343.684601065307,3591.6689386475655
Uni_Solar_US_32__1997_,1122.2409166932794,1345.2078596862582,43274.69114633428
Uni_Solar_US_32_1997_E_,1119.2454506204476,1343.2262670794612,42956.37602120116
Uni_Solar_US_32_2005_E_,1118.9132368415358,1342.7617603736358,42981.80394956007
Uni_Solar_US_42_2003_E_,1170.4052152711554,1353.2311540632834,56713.91766679222
Uni_Solar_US_5_2005_E_,476.0770220275239,1342.7617603736355,6868.226404311146
Uni_Solar_US_64__1997_,1220.9007462803934,1355.2925426911372,86996.98727916801
Uni_Solar_US_64_1997_E_,1218.8251647892178,1353.5328781689811,86571.96288768802
Uni_Solar_US_64_2005_E_,1218.5390116417866,1353.2311540632836,86633.85848313142
Uni_Solar_USF_11_2003_E_,808.0548068856027,1342.7617603736355,13736.452808622293
Uni_Solar_USF_32_2003_E_,1118.9132368415358,1342.7617603736358,42981.80394956007
Uni_Solar_USF_5_2003_E_,457.693125906247,1342.7617603736355,6646.670713849496
Yingli_Solar_YL220_Module__2008_,1170.4422718474289,1236.3057513846068,261528.86537657358
Yingli_Solar_YL220_Module_2008_E_,1175.9223129315076,1240.5748714310187,275407.6214576861
Yingli_Solar_YL230_29b_Module__2009_,1188.265520565534,1251.470736521329,289001.0383935639
Yingli_Solar_YL230_29b_Module_2009_E_,1195.0056108107935,1259.4869696581763,289807.95171834633
Yingli_YL210_2008_E_,1190.3881531146856,1256.7596725910932,266935.7544583482
Panasonic_VBHN235SA06B_2013_,1204.5238208344954,1267.7644371983936,302759.53032685944
Trina_TSM_240PA05_2013_,1191.627798358664,1254.9082580169968,302579.71821300895
Hanwha_HSL60P6_PA_4_250T_2013_,1198.1798066318227,1261.5669299376914,297741.31410122366
Suniva_OPT300_72_4_100_2013_,1189.8793694723981,1248.621335966333,348829.21943164454
Canadian_Solar_CS6X_300M_2013_,1201.2057478046,1260.5453689376418,358467.4963768427
LG_LG290N1C_G3_2013_,1202.2865296645518,1260.9937145468805,364890.5184066747
Sharp_NDQ235F4_2013_,1199.8685221358048,1263.609274707393,299753.1531217573
Solar_Frontier_SF_160S_2013_,1203.8934646959942,1280.01267149606,203651.29236125812
SolarWorld_Sunmodule_250_Poly_2013_,1185.1470569144346,1249.9218476949432,272552.5219482594
Silevo_Triex_U300_Black_2014_,1170.9424742329693,1226.513506985645,366129.7973537298
